"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Rashod Bateman","BAL","WR52","0.0","0.6","0.0","45.5","691.5","5.5","0.1","102.3"
"Rachaad White","TB","RB41","114.5","462.5","2.8","37.6","282.8","2.1","1.3","101.7"
"Tyjae Spears","TEN","RB42","124.6","498.2","3.7","33.6","251.9","1.0","0.9","101.3"
"David Njoku","CLE","TE8","0.0","0.0","0.0","76.5","731.1","4.8","0.8","100.4"
"Josh Downs","IND","WR53","0.3","7.0","0.0","62.9","737.4","4.3","0.5","99.4"
"Cam Skattebo","NYG","RB43","129.4","556.0","3.6","24.8","190.9","0.9","1.2","99.4"
"Tank Bigsby","JAC","RB44","151.8","612.8","4.8","11.2","81.6","0.2","1.2","97.0"
"Jerome Ford","CLE","RB45","132.3","543.8","2.8","30.5","206.9","0.8","0.8","95.3"
"Marquise Brown","KC","WR54","0.3","2.0","0.0","54.8","674.4","4.4","0.2","93.9"
"Tucker Kraft","GB","TE9","0.0","0.0","0.0","55.2","652.8","4.8","0.8","92.5"
"Trey Benson","ARI","RB46","130.6","576.0","3.9","13.7","104.6","0.4","0.9","92.5"
"Keenan Allen","LAC","WR55","0.3","2.0","0.0","55.6","641.3","4.8","0.6","91.9"
"Adam Thielen","CAR","WR56","0.0","1.8","0.0","61.8","657.9","4.5","0.5","91.7"
"Cedric Tillman","CLE","WR57","0.7","0.8","0.0","55.6","690.9","3.9","0.9","90.5"
"Emeka Egbuka","TB","WR58","2.2","11.1","0.0","49.1","635.1","4.4","1.1","89.3"
"Jaylen Wright","MIA","RB47","134.7","565.2","3.7","14.6","100.5","0.6","1.5","88.9"
"Tyler Warren","IND","TE10","0.0","5.5","0.0","58.1","648.2","4.3","1.1","88.7"
"Ray Davis","BUF","RB48","118.8","499.5","3.7","12.4","105.5","1.0","0.8","87.1"
"Xavier Legette","CAR","WR59","6.2","29.0","0.1","54.3","613.2","3.9","0.5","86.9"
"Dylan Sampson","CLE","RB49","118.7","480.9","2.7","23.3","177.4","0.9","0.8","85.9"
"Dallas Goedert","PHI","TE11","0.0","0.0","0.0","57.2","633.3","3.9","0.5","85.8"
"Jayden Higgins","HOU","WR60","0.7","4.0","0.0","47.2","631.9","3.7","0.5","85.1"
"Christian Kirk","HOU","WR61","0.7","4.0","0.0","50.6","649.5","3.5","0.8","84.7"
"Tyler Allgeier","ATL","RB50","119.8","549.7","3.3","12.7","92.2","0.3","0.8","84.3"
"Zach Ertz","WAS","TE12","0.0","0.0","0.0","58.1","539.2","5.1","0.1","84.2"
"Dalton Kincaid","BUF","TE13","0.0","0.0","0.0","57.1","603.0","4.0","0.5","83.6"
"Evan Engram","DEN","TE14","0.0","0.0","0.0","69.1","614.2","4.0","0.9","83.4"
"Jaydon Blue","DAL","RB51","109.2","476.9","2.9","19.3","150.7","0.8","0.8","83.2"
"Kyle Pitts Sr.","ATL","TE15","0.0","0.0","0.0","47.5","599.0","3.8","0.1","82.8"
"Jake Ferguson","DAL","TE16","0.0","0.0","0.0","67.8","621.9","3.8","1.2","82.6"
"Romeo Doubs","GB","WR62","0.0","0.5","0.0","45.2","575.2","4.3","0.5","82.3"
"Brandon Aiyuk","SF","WR63","0.0","1.0","0.0","41.9","633.8","3.3","0.4","82.1"
"Isaac Guerendo","SF","RB52","113.1","488.7","3.9","10.6","93.2","0.4","0.9","81.9"
"Wan'Dale Robinson","NYG","WR64","2.0","15.6","0.0","69.1","622.9","3.1","0.5","81.7"
"Rico Dowdle","CAR","RB53","107.3","459.1","2.6","20.9","143.0","1.1","0.8","80.9"
"Nick Chubb","HOU","RB54","118.9","484.0","3.8","9.9","75.6","0.4","0.5","80.5"
"Luther Burden III","CHI","WR65","3.7","27.4","0.4","47.0","569.6","3.4","1.1","79.8"
"Joshua Palmer","BUF","WR66","0.0","0.5","0.0","42.0","587.7","3.5","0.1","79.8"
"Roschon Johnson","CHI","RB55","96.6","346.6","5.0","19.0","123.9","0.5","0.4","78.7"
"Tyler Lockett","TEN","WR67","0.0","0.0","0.0","49.6","578.7","3.5","0.1","78.5"
"Hunter Henry","NE","TE17","0.0","0.0","0.0","55.0","572.5","3.6","0.4","78.3"
"Darren Waller","MIA","TE18","0.0","0.0","0.0","52.6","579.4","3.4","0.1","77.9"
"Isaiah Likely","BAL","TE19","0.0","0.0","0.0","41.4","495.5","4.8","0.7","77.0"
"Jonnu Smith","PIT","TE20","0.0","1.5","0.0","52.2","544.5","4.0","0.9","76.7"
"Colston Loveland","CHI","TE21","0.0","0.0","0.0","52.8","554.0","3.8","0.8","76.5"
"Michael Wilson","ARI","WR68","1.9","8.9","0.1","43.8","525.0","3.9","0.5","76.4"
"Cade Otton","TB","TE22","0.0","0.0","0.0","52.3","532.2","4.0","0.5","76.0"
"DeMario Douglas","NE","WR69","2.1","15.7","0.0","54.6","575.4","2.8","0.2","75.7"
"Jack Bech","LV","WR70","1.0","4.3","0.0","45.9","574.4","2.9","0.8","74.0"
"Tre' Harris","LAC","WR71","0.7","3.8","0.0","40.8","544.9","3.4","0.7","74.0"
"Calvin Austin III","PIT","WR72","2.3","11.8","0.1","39.6","528.8","3.4","0.5","73.7"
"Brenton Strange","JAC","TE23","0.0","0.0","0.0","55.3","548.7","3.3","0.5","73.6"
"Braelon Allen","NYJ","RB56","105.0","404.9","2.7","16.6","123.1","0.8","0.4","73.3"
"Bhayshul Tuten","JAC","RB57","91.9","398.0","2.7","17.5","138.0","0.8","0.8","73.2"
"Mike Gesicki","CIN","TE24","0.0","0.0","0.0","52.8","518.2","3.6","0.4","72.6"
"Alec Pierce","IND","WR73","0.0","0.0","0.0","29.3","528.9","3.3","0.1","72.6"
"Jalen McMillan","TB","WR74","2.3","18.7","0.0","35.5","445.9","4.3","0.5","71.4"
"Quentin Johnston","LAC","WR75","1.7","7.2","0.0","34.9","458.8","4.1","0.4","70.8"
"Chig Okonkwo","TEN","TE25","0.0","3.0","0.0","53.8","537.2","2.9","0.8","69.9"
"Juwan Johnson","NO","TE26","0.0","0.0","0.0","48.9","501.0","3.3","0.2","69.5"
"MarShawn Lloyd","GB","RB58","105.6","381.6","2.9","13.5","108.4","0.7","0.8","69.2"
"Dalton Schultz","HOU","TE27","0.0","0.0","0.0","49.9","510.1","3.1","0.4","68.9"
"Pat Freiermuth","PIT","TE28","0.0","0.0","0.0","51.2","493.5","3.5","0.9","68.7"
"Kareem Hunt","KC","RB59","82.4","314.4","3.3","18.3","125.9","0.7","0.1","68.1"
"Diontae Johnson","CLE","WR76","0.0","2.3","0.0","43.0","526.9","2.7","0.7","68.0"
"Kyle Williams","NE","WR77","2.1","13.3","0.0","38.8","492.5","2.9","0.4","67.3"
"Dyami Brown","JAC","WR78","0.7","6.8","0.0","39.4","502.3","2.8","0.5","66.8"
"Jalen Nailor","MIN","WR79","1.8","4.1","0.0","32.9","430.3","3.9","0.4","66.1"
"Darius Slayton","NYG","WR80","1.4","6.1","0.0","34.1","511.3","2.4","0.2","66.1"
"Tutu Atwell","LAR","WR81","4.3","20.2","0.1","39.1","497.9","2.2","0.1","65.3"
"Brandin Cooks","NO","WR82","1.7","3.8","0.0","40.1","459.8","3.1","0.1","65.0"
"DeAndre Hopkins","BAL","WR83","0.0","0.5","0.0","32.0","416.4","3.9","0.1","64.9"
"Nick Westbrook-Ikhine","MIA","WR84","0.0","1.3","0.0","31.4","427.0","3.7","0.1","64.6"
"Miles Sanders","DAL","RB60","93.9","404.7","2.3","12.0","77.2","0.6","0.5","64.5"
"Kendre Miller","NO","RB61","95.0","365.9","3.4","9.7","72.6","0.2","0.4","64.5"
"Tyler Higbee","LAR","TE29","0.0","0.0","0.0","45.3","425.2","3.7","0.1","64.4"
"Theo Johnson","NYG","TE30","0.0","0.0","0.0","43.1","470.5","2.7","0.1","63.0"
"Josh Reynolds","NYJ","WR85","0.0","0.0","0.0","35.0","460.6","2.9","0.1","62.9"
"Ray-Ray McCloud III","ATL","WR86","7.8","53.1","0.2","40.2","434.3","2.3","1.2","61.0"
"Jalen Tolbert","DAL","WR87","0.0","0.0","0.0","34.3","400.6","3.5","0.1","60.9"
"Elijah Arroyo","SEA","TE31","0.0","0.0","0.0","41.1","436.0","2.9","0.4","60.1"
"Raheem Mostert","LV","RB62","77.5","289.9","2.6","18.1","133.8","0.6","0.8","60.0"
"Mason Taylor","NYJ","TE32","0.0","0.0","0.0","44.9","452.7","2.6","0.5","59.9"
"Blake Corum","LAR","RB63","96.3","350.7","2.4","12.0","87.4","0.3","0.4","59.5"
"Tre Tucker","LV","WR88","5.6","31.5","0.3","30.3","388.5","2.3","0.1","57.6"
"Justice Hill","BAL","RB64","41.8","185.1","1.1","27.3","222.6","1.7","0.4","56.7"
"Woody Marks","HOU","RB65","72.3","259.1","1.8","20.0","146.4","1.0","0.1","56.6"
"Andrei Iosivas","CIN","WR89","0.0","0.0","0.0","30.4","363.3","3.4","0.1","56.6"
"Marquez Valdes-Scantling","SEA","WR90","2.6","10.0","0.1","24.2","402.7","2.3","0.0","55.7"
"Jordan Whittington","LAR","WR91","1.1","13.9","0.0","34.1","397.6","2.4","0.1","55.6"
"Jalen Coker","CAR","WR92","0.0","2.3","0.0","32.9","428.6","2.1","0.1","55.5"
"Tory Horton","SEA","WR93","1.0","8.7","0.0","33.5","426.7","2.1","0.7","54.4"
"Keaton Mitchell","BAL","RB66","75.2","330.0","1.7","8.6","83.4","0.5","0.0","54.1"
"Samaje Perine","CIN","RB67","51.2","200.4","1.5","21.2","195.7","1.1","0.7","53.5"
"Dont'e Thornton Jr.","LV","WR94","0.0","3.0","0.0","29.1","393.3","2.3","0.1","53.0"
"Dontayvion Wicks","GB","WR95","0.0","1.3","0.0","27.5","346.4","3.0","0.0","52.8"
"Pat Bryant","DEN","WR96","0.0","0.0","0.0","30.7","375.6","2.6","0.1","52.7"
"Will Dissly","LAC","TE33","0.0","0.0","0.0","37.8","370.5","2.5","0.0","52.0"
"Adonai Mitchell","IND","WR97","2.5","11.5","0.1","26.6","368.5","2.3","0.2","51.9"
"Noah Brown","WAS","WR98","0.0","0.0","0.0","31.8","406.4","1.9","0.1","51.8"
"Khalil Herbert","IND","RB68","84.6","325.0","2.1","8.3","54.0","0.2","0.0","51.8"
"Christian Watson","GB","WR99","4.3","17.0","0.0","19.9","366.6","2.3","0.4","51.6"
"Ty Johnson","BUF","RB69","45.7","208.1","1.0","15.2","164.8","1.5","0.1","51.6"
"Noah Fant","CIN","TE34","0.0","0.0","0.0","36.2","370.6","2.4","0.1","51.6"
"Ja'Tavion Sanders","CAR","TE35","0.0","0.0","0.0","38.5","388.6","2.1","0.1","51.1"
"Russell Gage Jr.","SF","WR100","0.0","0.0","0.0","31.4","360.5","2.5","0.0","51.0"
"Troy Franklin","DEN","WR101","1.1","5.8","0.0","27.2","342.5","2.7","0.1","50.9"
"Allen Lazard","NYJ","WR102","0.0","0.0","0.0","27.5","353.8","2.5","0.1","50.1"
"Tyler Conklin","LAC","TE36","0.0","0.0","0.0","36.4","352.8","2.5","0.1","49.9"
"Jaylin Noel","HOU","WR103","0.0","13.0","0.0","27.2","326.9","2.3","0.1","47.6"
"Elic Ayomanor","TEN","WR104","0.0","7.5","0.0","28.6","336.3","2.2","0.1","47.4"
"K.J. Osborn","WAS","WR105","0.0","0.0","0.0","28.7","318.5","2.5","0.0","46.8"
"Curtis Samuel","BUF","WR106","6.6","29.3","0.1","27.0","271.5","2.5","0.1","45.4"
"AJ Barner","SEA","TE37","0.0","0.0","0.0","32.4","302.4","2.4","0.1","44.3"
"Tai Felton","MIN","WR107","0.0","3.7","0.0","24.8","298.9","2.3","0.0","44.2"
"Anthony Miller","BAL","WR108","0.0","0.0","0.0","25.3","289.4","2.5","0.0","44.1"
"Noah Gray","KC","TE38","0.0","0.0","0.0","28.2","285.4","2.6","0.0","43.9"
"Jarquez Hunter","LAR","RB70","57.1","245.0","1.9","8.5","68.7","0.4","0.7","43.8"
"Antonio Gibson","NE","RB71","51.5","209.5","1.0","15.7","127.0","0.5","0.0","42.4"
"Elijah Mitchell","KC","RB72","62.5","235.9","1.9","8.5","49.6","0.4","0.1","42.2"
"Kayshon Boutte","NE","WR109","0.0","0.0","0.0","22.5","301.7","2.0","0.0","42.0"
"Greg Dortch","ARI","WR110","4.8","30.6","0.1","27.1","269.3","2.0","0.4","41.8"
"Cole Kmet","CHI","TE39","0.0","0.0","0.0","30.0","288.6","2.3","0.4","41.7"
"Van Jefferson","TEN","WR111","0.0","0.0","0.0","23.5","300.4","1.9","0.1","41.0"
"Ja'Lynn Polk","NE","WR112","0.0","0.0","0.0","24.7","298.7","1.8","0.0","40.7"
"Malik Washington","MIA","WR113","2.0","13.8","0.1","27.5","288.9","1.8","0.6","40.4"
"Devaughn Vele","DEN","WR114","0.0","1.7","0.0","24.9","275.6","2.1","0.1","40.1"
"Devin Singletary","NYG","RB73","51.8","235.2","1.5","9.4","63.3","0.1","0.4","39.1"
"Roman Wilson","PIT","WR115","0.0","0.0","0.0","21.8","276.6","1.9","0.1","39.0"
"Trevor Etienne","CAR","RB74","47.8","191.3","1.5","10.7","86.8","0.4","0.4","38.3"
"Tahj Brooks","CIN","RB75","24.9","225.4","1.9","6.7","48.2","0.1","0.6","38.0"
"Kenneth Gainwell","PIT","RB76","53.9","196.5","1.3","12.5","88.6","0.4","0.4","37.7"
"Tim Patrick","DET","WR116","0.0","0.0","0.0","20.5","258.1","2.0","0.1","37.6"
"Foster Moreau","NO","TE40","0.0","0.0","0.0","23.0","259.8","1.9","0.1","37.2"
"Demarcus Robinson","SF","WR117","0.0","1.0","0.0","15.8","251.1","2.0","0.1","37.1"
"Skyy Moore","KC","WR118","0.0","0.0","0.0","22.3","267.1","1.7","0.0","36.6"
"KaVontae Turpin","DAL","WR119","8.5","58.6","0.5","16.8","204.0","1.4","0.7","36.3"
"Parker Washington","JAC","WR120","0.0","8.5","0.0","24.7","261.7","1.6","0.1","36.3"
"Will Shipley","PHI","RB77","37.4","199.7","1.3","8.3","61.8","0.4","0.1","36.3"
"Sean Tucker","TB","RB78","44.8","231.4","1.4","5.1","40.1","0.3","0.7","36.1"
"Devin Neal","NO","RB79","39.1","204.6","1.3","7.3","54.5","0.4","0.1","35.9"
"Jermaine Burton","CIN","WR121","0.0","2.0","0.0","18.1","239.7","2.0","0.1","35.7"
"Emanuel Wilson","GB","RB80","41.9","202.7","1.4","7.4","53.9","0.4","0.3","35.6"
"Austin Hooper","NE","TE41","0.0","0.0","0.0","26.5","263.1","1.7","0.4","35.6"
"Dawson Knox","BUF","TE42","0.0","0.0","0.0","21.9","238.0","1.9","0.0","35.2"
"Michael Mayer","LV","TE43","0.0","0.0","0.0","27.7","257.3","1.6","0.1","35.2"
"Chimere Dike","TEN","WR122","2.1","8.9","0.0","18.9","246.0","1.6","0.1","35.1"
"Kyle Monangai","CHI","RB81","33.4","213.0","1.8","4.4","31.6","0.0","0.0","35.0"
"Jaleel McLaughlin","DEN","RB82","30.5","142.6","0.8","18.2","110.3","0.9","0.5","34.3"
"Terrance Ferguson","LAR","TE44","0.0","0.0","0.0","23.0","235.5","1.9","0.4","34.1"
"Zamir White","LV","RB83","56.1","190.2","1.1","8.6","61.7","0.3","0.0","33.6"
"Robbie Ouzts","SEA","TE45","0.0","0.0","0.0","25.0","247.0","1.5","0.5","32.9"
"A.J. Dillon","PHI","RB84","50.1","199.1","1.6","3.6","28.6","0.1","0.0","32.7"
"Tyler Johnson","NYJ","WR123","0.0","0.0","0.0","20.6","217.8","1.6","0.0","31.4"
"Josh Oliver","MIN","TE46","0.0","0.0","0.0","20.2","211.1","1.7","0.1","31.2"
"Harold Fannin Jr.","CLE","TE47","0.0","0.0","0.0","23.7","234.3","1.2","0.4","30.0"
"JuJu Smith-Schuster","KC","WR124","0.0","0.0","0.0","19.4","211.0","1.5","0.1","29.8"
"Luke McCaffrey","WAS","WR125","0.0","1.0","0.0","19.4","203.1","1.5","0.1","29.0"
"Jacory Croskey-Merritt","WAS","RB85","33.0","169.4","1.4","3.7","27.3","0.1","0.0","28.2"
"Tommy Tremble","CAR","TE48","0.0","0.0","0.0","19.2","183.6","1.7","0.4","27.8"
"Jalen Royals","KC","WR126","0.0","2.5","0.0","15.7","188.1","1.4","0.0","27.4"
"DJ Giddens","IND","RB86","24.1","154.3","1.2","5.8","43.6","0.1","0.0","27.1"
"Luke Musgrave","GB","TE49","0.0","0.0","0.0","19.1","186.4","1.4","0.0","27.1"
"Kendrick Bourne","NE","WR127","1.1","6.8","0.0","17.6","199.6","1.1","0.1","27.0"
"A.T. Perry","DEN","WR128","0.0","0.0","0.0","13.7","180.5","1.5","0.0","26.9"
"Robert Woods","PIT","WR129","0.0","0.0","0.0","18.4","192.9","1.2","0.1","26.5"
"Brock Wright","DET","TE50","0.0","0.0","0.0","15.0","134.8","2.2","0.0","26.4"
"Ben Sinnott","WAS","TE51","0.0","0.0","0.0","17.9","176.9","1.5","0.1","26.4"
"Jordan James","SF","RB87","26.9","154.8","1.3","3.3","29.5","0.0","0.0","26.1"
"Ollie Gordon II","MIA","RB88","31.9","151.3","1.2","5.1","36.3","0.1","0.4","26.1"
"Zay Jones","ARI","WR130","0.0","2.0","0.0","16.8","179.7","1.3","0.1","25.6"
"Brashard Smith","KC","RB89","9.7","97.0","0.7","10.9","80.3","0.7","0.0","25.5"
"Oronde Gadsden II","LAC","TE52","0.0","0.0","0.0","16.5","168.9","1.4","0.0","25.1"
"Audric Estime","DEN","RB90","45.5","148.6","0.9","5.8","40.1","0.2","0.4","25.1"
